name,description,link,purchase,subscription,platform,symbols,artboards,responsive,prototyping,animation,collaboration,categories,logo
Hotjar,"Hotjar is a new and easy way to truly understand your web and mobile
site visitors.",https://www.hotjar.com,,,,false,false,false,false,false,false,"Analytics, Research",images.png
Google Analytics,"Google Analytics Solutions offer marketing analytics products for businesses
of all sizes to better understand your customers.",https://www.google.com/analytics/,,,,false,false,false,false,false,false,"Analytics, Research",logo_lockup_analytics_icon_vertical_black_2x.png
Pattern Lab,"Pattern Lab helps you and your team build thoughtful, pattern-driven
user interfaces using atomic design principles.",http://patternlab.io,Free,,Web,false,false,false,false,false,false,"Design system, Hand-off",patternlab-1.png
Axure RP,Design the right solution.,http://www.axure.com,$495/$895,$29/$49,"Mac, Windows",true,,true,true,true,true,"Wireframing, Prototyping",axure.png
Sketch,Professional digital design for Mac.,http://www.sketchapp.com,$99 per year,,Mac,true,true,true,,,,Design,sketch.png
Adobe Illustrator,Create beautiful vector art.,http://www.adobe.com/uk/products/illustrator.html,,,"Mac, Windows",,,,,,,"Wireframing, Prototyping",ai.png
Adobe Experience Design,Design. Prototype. Share. All in one app.,http://www.adobe.com/uk/products/experience-design.html,,,"Mac, Windows",,,,,,,Design,xd.png
Marvel,"Simple design, prototyping and collaboration.",https://marvelapp.com,,,Web,,,,,,,"Prototyping, An",marvel.png
InVision,"The world's leading prototyping, collaboration & workflow platform.",https://www.invisionapp.com,,,Web,,,,,,,Prototyping,inv.png
Balsamiq,"Balsamiq Mockups is a rapid wireframing tool that helps you Work Faster
& Smarter.",https://balsamiq.com,,,Web,,,,,,,Wireframing,balsamiq.jpg
UXPin,Collaborative UX Design for Product Teams.,https://www.uxpin.com,,,Web,,,,,,,"Wireframing, Prototyping",uxp.png
Zeplin,Build pixel perfect apps in peace.,https://zeplin.io,,From free,"Mac, Windows, Web",,,,,,,Hand-off,zeplin.png
What Users Do,"Our platform helps you understand how your customers engage with your
website or product.",https://www.whatusersdo.com,,,Web,,,,,,,Research,whatusersdo.jpg
Optimal Workshop: Treejack,Know where and why people get lost in your content,https://www.optimalworkshop.com/treejack,,,Web,,,,,,,Research,optimal-workshop.png
Optimal Workshop: OptimalSort,Discover how other people organize your content,https://www.optimalworkshop.com/optimalsort,,,Web,,,,,,,Research,optimal-workshop.png
Optimal Workshop: Chalkmark,Reveal first impressions of designs and screenshots,https://www.optimalworkshop.com/chalkmark,,,Web,,,,,,,Research,optimal-workshop.png
Optimal Workshop: Reframer,"Collect, Discover, Share",https://www.optimalworkshop.com/reframer,,,Web,,,,,,,Research,optimal-workshop.png
Optimal Workshop: Questions,"Ask, Recruit, Learn",https://www.optimalworkshop.com/questions,,,Web,,,,,,,Research,optimal-workshop.png
UserTesting,"Get videos of real people speaking their thoughts as they use websites,
mobile apps, prototypes and more.",https://www.usertesting.com,$99 per video,,Web,,,,,,,Research,tXEf7cig.jpg
Marketch,"Marketch is a Sketch 3 plug-in for automatically generating html page
that can measure and get CSS styles on it.",https://github.com/tudou527/marketch,Free,,Mac,,,,,,,Hand-off,logo.png
Avocode,"Build web, iOS & Android apps exactly as they were designed",https://avocode.com,,,"Mac, Windows, Web",,,,,,,Hand-off,avo.svg
Framer,The design tool of choice for product teams at todayâ€™s top companies.,https://framer.com,,,"Mac, Web",,,,true,true,,,framer.png
Lucidchart,"Our online diagram application makes it easy to sketch and share professional
flowchart diagrams. ",https://www.lucidchart.com,,,Web,,,,,,,Wireframes,chart_appicon_250.png
Principle,Principle makes it easy to design animated and interactive user interfaces. ,http://principleformac.com,$129,,Mac,,,,,,,"Animation, Prototyping",Principle.png
HotGloo,"Next level wire framing & prototyping tool. Create in your browser.
Review anywhere.",https://www.hotgloo.com,,,Web,,,,true,,true,Wireframing,Unknown.png
Fuse,"
Build native apps on iOS and Android. Simpler. Faster.",www.fusetools.com,,,"Mac, Windows",,,,true,,true,"Prototyping, Development",logo-grey-header@2x.png
Craft,"Screen design. Supercharged. Craft is a suite of plugins to let you
design with real data in mind. ",https://www.invisionapp.com/craft,,,Mac,,,,,,,"Design, Sketch plugin",craft.png
Atomic,"Atomic helps you quickly create realistic prototypes of everything
from simple interactions to entire products.",http://www.atomic.io,,,Web,,,,,,,"Design, Prototyping",atomic.png
Figma,The first interface design tool with real-time collaboration.,https://www.figma.com,Free (for now),,Web,,,,,,,"Wireframing, Design, Prototyping",figma.jpg
SurveyMonkey,Turn instincts into insights,https://www.surveymonkey.com,,,Web,,,,,,,Research,surveymonkey-icon.png
Google Forms,"Collect and organize information big & small with Google Forms. For
free.",https://www.google.com/forms/about/,,,Web,,,,,,,Research,3191_3191_google_forms_logo.png
